                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     64,               0.031724,               0.025431,               0.020468,               0.051331,                0.50014,                 0.1558,                 0.1274,               0.093185,                0.49834,                0.15207,                0.12365,               0.089309,               0.039607,                0.03283,               0.028168,               0.071385,               0.003763,               0.003763,               0.003763
                     65,               0.032104,               0.025901,               0.019993,               0.050818,                0.72462,                0.09978,                0.13562,               0.097444,                0.72355,                0.10043,                0.13459,               0.099045,               0.040222,                0.03258,               0.028598,               0.070895,               0.003664,               0.003664,               0.003664
                     66,               0.031388,               0.024952,               0.020327,               0.049984,                0.49239,                0.14925,                0.11889,               0.082667,                0.49214,                0.14871,                 0.1198,               0.085153,                0.04011,               0.032192,               0.028383,               0.071692,               0.003565,               0.003565,               0.003565
                     67,               0.031519,                0.02479,               0.020547,               0.049352,                0.42893,                0.15089,                 0.1266,               0.094359,                0.43088,                0.14937,                0.12634,               0.091851,               0.039418,               0.031619,               0.028732,               0.070308,               0.003466,               0.003466,               0.003466
                     68,               0.031245,               0.024382,               0.019619,               0.050731,                 0.6529,                0.10806,                0.12482,               0.086069,                0.65367,                 0.1097,                 0.1237,               0.086262,               0.039736,               0.032199,               0.029168,               0.072014,               0.003367,               0.003367,               0.003367
                     69,               0.031421,               0.024969,               0.019974,               0.048254,                0.53032,                0.13806,                0.12001,               0.084061,                 0.5299,                0.13641,                0.12014,               0.081432,               0.039532,               0.033079,               0.029429,               0.071564,               0.003268,               0.003268,               0.003268
                     70,               0.030628,               0.024747,               0.019737,               0.049544,                 0.3458,                0.19787,                0.13184,               0.093785,                 0.3443,                0.19163,                0.13015,               0.090374,               0.040409,               0.033044,                0.02949,                0.07165,               0.003169,               0.003169,               0.003169
                     71,               0.030642,               0.024345,               0.019436,               0.049211,                0.55591,                0.12156,                0.14983,                0.10843,                0.33882,                0.17677,                0.14695,                0.10653,               0.039981,               0.032352,               0.028884,               0.071649,                0.00307,                0.00307,                0.00307
                     72,               0.030815,               0.024028,               0.018926,               0.047159,                0.52973,                0.14278,                 0.1442,                0.10168,                  0.528,                0.14275,                0.14154,               0.099533,               0.040513,               0.033654,                0.02889,               0.071731,               0.002971,               0.002971,               0.002971
                     73,               0.030689,               0.024874,                0.01961,               0.047973,                0.66221,                0.11597,                0.13541,               0.097073,                0.41712,                0.16191,                0.13331,               0.093184,               0.040554,               0.032646,               0.029144,               0.070782,               0.002872,               0.002872,               0.002872
                     74,               0.030766,               0.024292,               0.019818,               0.046365,                0.34005,                0.20147,                 0.1214,               0.086374,                0.33822,                0.19685,                0.11876,               0.084566,                0.04036,               0.033223,               0.029483,               0.072307,               0.002773,               0.002773,               0.002773
                     75,                0.03077,               0.024656,               0.018869,               0.046856,                0.31813,                 0.1573,                0.12332,               0.090154,                0.39041,                0.16067,                0.12393,               0.087223,               0.039238,               0.031873,               0.029379,               0.070432,               0.002674,               0.002674,               0.002674
                     76,               0.030338,               0.023972,               0.018884,               0.046057,                0.45617,                0.14289,                0.14212,                0.10177,                0.45136,                0.13983,                0.13868,                 0.1003,                0.03913,               0.032689,               0.028705,               0.072308,               0.002575,               0.002575,               0.002575
                     77,               0.029649,               0.023952,               0.019318,               0.045962,                0.43144,                0.14904,                0.12641,               0.088399,                0.43263,                0.14739,                0.12467,               0.088058,               0.039051,               0.032851,               0.028997,                0.07104,               0.002476,               0.002476,               0.002476
                     78,               0.029026,               0.023492,               0.018563,               0.045319,                0.49054,                 0.1288,                0.12394,               0.087553,                0.48795,                0.12584,                0.12171,               0.087063,               0.038634,               0.033146,               0.029031,               0.071469,               0.002377,               0.002377,               0.002377
                     79,               0.030205,                0.02401,               0.019106,               0.045951,                0.43558,                0.13969,                0.14713,                0.10879,                0.43488,                0.13871,                0.14682,                0.10563,               0.039624,               0.032175,               0.029413,               0.069417,               0.002278,               0.002278,               0.002278
                     80,               0.029493,               0.023532,               0.018542,               0.044973,                0.34372,                0.20748,                0.14063,                0.10115,                0.34173,                0.20122,                0.13693,               0.099116,               0.038954,               0.032069,               0.029235,               0.069061,               0.002179,               0.002179,               0.002179
                     81,                0.02873,               0.023758,               0.018478,               0.044262,                0.53837,                0.12045,                0.15107,                0.11106,                0.52516,                0.11619,                0.14822,                0.10492,               0.039002,               0.031622,               0.028949,               0.068414,                0.00208,                0.00208,                0.00208
                     82,               0.029043,               0.023221,               0.018176,               0.043562,                0.36954,                 0.2141,                0.13945,                0.10503,                0.36562,                0.20812,                0.13659,               0.099207,               0.039082,               0.032826,               0.029067,               0.070567,               0.001981,               0.001981,               0.001981
